河南电信央视,#genre#

CCTV1,http://123.54.179.72/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.133/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.133/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.134/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.134/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.135/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.135/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.136/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.136/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.73/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.73/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.137/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.137/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.138/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.138/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.139/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.139/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.140/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.140/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.74/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.74/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.69/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.69/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.70/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.70/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://123.54.179.71/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://123.54.179.71/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221227279/index.m3u8	
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221227005/index.m3u8	
CCTV1,http://222.85.69.6/TVOD/88888888/224/3221227279/index.m3u8	

CCTV2,http://123.54.179.72/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.133/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.134/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.135/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.136/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.73/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.137/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.138/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.139/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.140/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.74/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.69/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.70/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://123.54.179.71/PLTV/88888888/224/3221227049/index.m3u8
CCTV2,http://222.85.69.6/TVOD/88888888/224/3221227049/index.m3u8
CCTV2,http://222.85.69.6/PLTV/88888888/224/3221227049/index.m3u8

CCTV3,http://123.54.179.72/PLTV/88888888/224/3221227053/index.m3u8
CCTV3,http://123.54.179.133/PLTV/88888888/224/3221227053/index.m3u8
CCTV3,http://123.54.179.134/PLTV/88888888/224/3221227053/index.m3u8
